NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,440.57916
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,442.81873
b38a03232f43b11c9d0788abaf060f7366053b6d,596.5092
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-9.871627
715494628a50142ce8cb17191cfe6d0f3cae0934,565.2683
e656d6bad65c93fb2880f1eba5037008c8e75774,458.44382
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,564.93604
11539e86171bf07d3a36f09377d7f54ebcc8406a,427.01212
043c544a2104aa8a9849f1a703a08d37a2f16839,461.20142
76ba050e64ad100b856f0eaabd8f539d5c7dd185,456.3021
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-2.4579291
db4da599aab5bb08dce27094a35fd3e36cd0abce,3.0881233
940aede382ccb332fab15d413217695ec44ca765,462.43628
9ad714b116da76d878dd399d187fccc2dd13dd63,605.83466
dd34464a4d780b12a089347ad580418ac57a3055,507.07407
f837a4cb05a5fd59d20138182f5e8c721eadd584,459.6797
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,11.824683
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-2.7594292
8b0c675d7fde14953668269d378c588f0df0498b,-1.1552725
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,429.29855
3d203727f27abd83b71732d88d8cb1cc099f363b,421.9475
d30d31c8ff45094e9a992c63d4a6f68b245a341a,65.872406
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,6.510288
cbc301183dec912f3513ca766bf03dd565f3a38f,436.75092
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,644.035
11282da1ee78c8db45a041db4c744e33df489df0,476.4042
03c67f683a415c2ea09b582248bd4cb08528c19d,584.6549
046e844fb06a07ba30b41521f0065a8d9c6e5024,385.01727
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,451.9244
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,7.7980027
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-0.26721084
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,474.77847
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,446.7115
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,471.82306
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,521.3496
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,464.82962
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,463.06342
59bfa081e020013410d9f60f91813964ba749bb2,445.3083
f5e069ee3bc95998464e8ff5da048b7f999921ed,417.54
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,615.0921
664f44258212a1f7e4086f2b4845d586c543fa3f,458.23523
265cd7befa74a9f2a198fc57baec9858075f8419,436.79797
6f9ac44919bbd204e0ef15185388fd2d4bc61253,507.0322
78de1ee60b55766cc3eba4089e36c57139b66ebd,457.66153
24550edb10f283ef4e953fd6a8fedbfa211bd456,1.5233282
1e61a474acdc043eb39a89c17fab34bd2ea1a940,425.72366
940af68ded6af2875708611051aa7ff3f134d80b,493.92407
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,434.3408
c76ddf6e9f80984e901b12f9462a3cf029bea290,525.6234
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,446.3418
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,-12.1289425
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,2.337905
92823d467a2ced9529801e0e8a94802dd88f0c17,442.25626
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,561.3967
413cbb38b2e2522f8167ffb9daeac1347b281393,472.65866
68985fad004092956a4b4ce94dd53dc76d07eaf7,464.71347
bdca9aeb19521675af15f2c28d86f6bebc45a834,441.89413
b65b19d42b7a4b644fe9f99366dcb37b120862d9,465.2438
eda898aa8ec465cbac70de72ead0c6d688e5f95a,438.49878
5357b6c09be4c7f3829b72f80de846a9228253cb,0.4192943
8d5c4481d736f6ce27976e400f4245bf10757608,410.30615
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,-0.5348836
089613ac7dca24109f84c72a97c83b2768b1df1c,-2.2860804
527773409bf373301dbd835e59a263c035c043b8,3.1513572
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-0.599849
c4cea54435c0fd0e171eed4c215479bb3ca86113,429.90778
7d5cd89c6112b9a202a025a24355135bc60848c6,472.96112
b70ab62384aa80545928a311f5b5d3db2f4d87ee,475.4454
c96431dd924f366d2229a7f1455388b8cd85be49,646.4227
1b72da5bb82cc150ecfe71218c02f155d694230b,11.330681
e429507efe1c2680cc464481850117d17083cd88,4.9248705
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,433.74414
e724482370ae6126008ade80b564ad8d8a0a7cbd,446.76453
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,636.3684
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,4.033149
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,509.8694
7f898f8939ae054359f83ee154bb91bc7dd2c959,487.0883
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,457.76083
82e3b12c6366008fabc238f299f117074e78de5d,422.1613
0d838be0e718ceb786cdb10fcc12559e00440240,473.1953
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,452.16284
5a9d89465845ac2d81366275cbb1a81d627efd36,1.7729471
c83fe640ba466ba904ac1055e53a875289888797,456.1707
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,476.86038
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,383.31638
328639a0c753715c30a58bae70c82f2101153eb3,490.61115
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,-1.8786402
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,536.96857
f56746cc2900258507d2b32c126f8db090db856f,445.9035
1a4963b5fea8bb25c67750cdafbe84b01efad177,372.4267
b520c940e62f4ed684417e7eacf00d85752060da,465.03845
2e170cf2651ed448991af6fc5df15167733b2d8f,512.4163
6efdd93a0ae289be6bb5a400bfc1deb077d75886,465.69098
72ac2acc787d8cba0934cca3810ac091d792c8db,526.3268
92a25eee14554806f081869cc9dac868fd1860fb,427.7341
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,431.1543
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,458.10797
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,530.6293
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,419.3362
1730807e4916c5f7e8ab21e02ac5657bcea3e732,-4.069761
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,404.651
1a46d99716282410d1170f0f35069b34e34415d4,477.83472
0467e022da4ef897f666bc76f31e1bc8976f7e92,458.37094
993aca0d5eac6741117947c82a3647102096255e,413.31784
94c96ade6ade21deb080bba6aad537fc4f195d47,545.3893
36bb672077a46a3e4755cef90437a616d28bdf23,415.1952
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,363.02917
328ca19128d276eb4fbc309c54ec7f346c803d2f,766.38855
27cdb62f0a2a5467efeb30aafbf246ed2320c532,419.92084
c52cae37c3653620bbec72264c502f45ca2a8671,0.01621452
f9ef2695eb0986666093945894b8f2fee351bf22,508.99274
2178c497293d0cab01ce74f5105b1a398fb12d8e,39.70114
e21faa0c07406dde71ec02f266b19b314ba8b0e2,-9.653551
8a021391cdaac100dab56c59284bd50137a74129,597.0854
12ee0df69325d97cb95404958c4acf4112aeab8a,-7.9702587
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,486.43796
66cf0f8b5af2466f9616fd15c0c10344df84982a,-0.626042
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,444.88806
60edc5708acd60680891ea15379dd07c7a5924ff,-2.5137603
b9f786712775e0d1d735398d710b01f404c985a3,426.15204
564958997e204bda06fbe90afc4722805c78a855,581.0783
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,452.27914
527098f4ee3ceb5c393981930d23b8fe154f4db9,1.1987591
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,477.04633
8296743fdd105ce9183561cf5b359b0a3781465e,445.8809
a3b79e8c739832c77df2ba6bcdb23a7518155a33,0.13073692
6602c7f15a1fdd082265b64976448c6809df792d,438.19632
31ae66f0fe024acae4490915c348e487f2367574,455.8053
81901aa980653106e64863d957387d24e2c00af3,436.0413
28e10d1bd0b6effe0edd503446ebda948ad240ad,419.8166
53a7ee52a87f80241e2ca13c923e06b72bf3a059,420.57397
50be5f75fdaedae454b0c3d63b7277854bd08d8f,25.313293
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,11.363924
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,558.46564
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,-9.505953
02681b5c893b94db204713cb4b20dde6fc3f2f95,479.98654
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,402.9269
829dd51f77f3ae74c2216de2d86139bd0a03367c,2.3587818
28c6829e69879bc1d34db1cd51b89562d3cc596b,464.06177
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,469.8111
96715a069fbcb2e84b26a01563921962ccc4601e,1.2360495
923538833160e8432636c88e8119378a43b3d766,479.2831
aacb834258765a2959ee63c57d2be4923d11a696,481.27618
c32e484025571dd94255a77f21de08ab8d2aaba8,534.70154
d425deeec0a3c7006f14d732eff8933d5155067f,447.63086
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,468.15204
716a178e9a6f7791b820da77879943ac9040a547,507.40695
430212cd8767ef2bff8cda0f61729203fef7523e,411.14026
e97d33221238e445688a0e984778d4ecac788be2,496.67407
695c9481580951d830c4431fc6c9dee778ba9ca1,-0.54365444
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,501.3231
0411742cbb54fe1b6927b25f0bb52b885828c828,446.6767
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,436.8019
bc40729846bf209b06e2a9a890e01d4e6780f5b4,-6.4975276
e4e7a38b58319ad0a5cde4848622b21783c907e9,505.9668
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,530.7047
aec1b63c3f0c9554e533752d8fe138ca82101d4a,413.55673
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,497.4939
4b48d500ba4410546ce01f7f6d44bcbafa73994f,425.36957
edf33c347c866d26872f540bcc1f6ae415f3294c,465.29385
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,553.29706
3a265ea6ebdc4eb2520db912adf5592f03b3d634,416.464
99bfcef2dc3695a617f241bfd3b6ead3fd653d41,-2.85088
0ade5488fd62db34c11a369bdbb4327faacc1635,-12.06168
e418fbb77e6ff4103205f3b7f6a66d53183d809b,456.8049
8ddbfe70cd41135cb6f125335a48d100789edbf7,376.67178
fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,-11.704273
1d3e406d0223d4cb0328850d689ba9fcadf62776,447.56552
67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,-5.168436
ecaf075653faf2dcdf946c0ce50629f5083347c0,441.83362
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,456.18008
d43894c5e83bb3a7e5000636295b0b050de19309,-3.0464628
5b7877d12550dd35d27a02b66a13f2a27bce11ca,409.25027
18f800ec03e33ebad5fb97aa8465dd3e5961337e,488.80704
bb39cc6296f2c9da3963994899c5c34b50965720,-2.1464772
76facda8958cbaf5dba09a4d35d3b4de7596a49d,3.0922654
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,486.93234
e887be276bf553575b20ed1a0de8833d9cb7e247,-10.599859
cc8794762ffa592758b5117d67e0d02e2e8b9c49,513.2635
894d277c608610fa8c31db531f64582b9569b2e9,466.16852
b2e029961aa0f20071b74708e0d97e6f200ec582,437.60193
12c7d85e168b09a0278df140a22bcb0052a59b0a,446.58447
64c4892488a9c6281bdabf467a0b5a6382d248e6,447.64767
944e790f6e64eccf6df361247858165f17dd7abb,8.435501
ac112e94587e6e4249b7182329ee5a5040ae94ea,492.00668
a58cf11e498228f9aaca92b0c49f955a6163fb59,386.54477
e8c84701c041b7f3b39f3125a0449fa633589fbe,451.3124
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,540.6127
c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,23.65135
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,425.03677
e64ad901853230e396be49311ea98121c348fac6,465.96866
8532af19be3729ea233c1f29e4c015820fc7fb3a,461.26126
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,430.2227
26853fd075fe27954772c3070997635b94f32b83,451.43564
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,537.09985
574ec310dee846f9ae8eb278480257d463f6fbcc,485.99982
ebb32b8df4ff9b202ba904f310724ce230cb4305,10.759359
8a46e35787225c3e7adef2b998ad9c93a952106b,558.4695
b62bf908b504e8c6898777a7f5b88afed358caea,421.13412
10d22971ca4f53fc62d02905809ff1c37fbb68fc,623.55884
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,457.75778
cad47b624b484cb16291449cee30707a46c20199,36.12346
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,556.3137
bb6c0df09cb6663f142ce6da382b804353453af2,-9.926394
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,464.2904
7bd0affe1bdd3681a0faecd80a3d48c023b986de,0.95898736
d76614020539405f481c0f5ffb9e6f88a0bf21b7,415.75922
5ce2df96a99343819ead41bf242044177439696d,-6.4237323
c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,-10.6844425
a9216c3fc0c0bf14cda0ca26a71c205458b74896,0.94411385
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,458.32288
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,433.12244
176b027cd932b17fcb6f119cfcef338a175062b8,409.061
41474f2dda61d97f38ba79906d3dbcce223d1bd1,480.2672
421eb738f9e2ea73e5f4227c915762d6421102ac,-33.042503
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,472.77707
f113b266aeb3cb19dca62ae88de7cc55a13efbf1,14.924456
134d96275e3893946c3a0e1d59f86b336fe64f6e,-1.4602592
d4e97da32ccb6987ec074aa48c24ce949c05a78c,414.6872
fa556e489987a0588e9a8edb5327e2bde1679670,-6.360559
95c1d266a2524560761df98b376c17604733a6ad,568.09357
c11c4303d2632cde64105a35554ecb77a8564260,434.3408
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,451.6708
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,528.516
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,418.71182
580c34923cbde328e0aef1641dd02033fc862c04,476.0385
156e1fb82056b0f6953c443446eb4dcceed7c03b,2.3083768
29d8bf198da9caa59047268faca60207da24d1b7,483.51868
1b3f80a1cd9fff0408e96169fcaf006936b34fed,427.33185
b5932043b62e0c58e16e2cc2c9d5489390e5c895,436.8872
99092cc60948943c59d68d62ed81a75a03059113,474.335
fbfc631ae23a558d8dd92916cf2e8b5f923b0681,3.7496872
dd69fca6f17420dc911016a79e70583ca7ea330d,422.48056
d387995af060965fb9d18973f3dbf4904f071066,414.0034
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,478.38947
543674772357cf9d8a7a8e7dfb89384af80ec30e,423.24734
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,396.01434
dc2699d27649dbe52ebbe10001c0bb5ba71310c0,154.10463
0736d379ea0962e316ce84cce8e883321be36abb,440.66205
98cc842c547c69a0d27776e272fd8b61131b0b37,435.25665
890b7696fa85ca2b3e90b3951efec2135e88d5cf,497.14423
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,722.41724
d84b48f7dc7a6e387e6e985525143589754c5b13,437.7686
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,457.27197
dc4fe9d4124d9278f58f6f999711116a3fe58be7,476.7598
f6624d763619c0898b34dc02adf06f53a1721cd0,448.0327
60b1c12559860e7ad966da4c4db5c78e17278fc0,439.51285
a3f3dcb89101d86171f8bb4f4f57939717cf298a,-0.09742868
4f365503582b97ea96462d0d36895a5e7f5926df,453.55862
c80869804effb21d50cc8fff3f4c27ba5521240c,444.3149
d0f351638d60e84b890a498d69c9a7961cdcdf36,424.94543
48e8ec135997ff3676648d5c144c3c7150a7bbb1,410.70367
45484014aefd10ea3e4b08fb93e66c251709cca6,411.71878
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,449.50848
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,442.37
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,623.67676
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,432.7482
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,577.9508
c83c66733c5bd90a59996e473bb69e44f6522976,380.58032
69c67ff1933e4fa099182bbcb24a229d0ad84d5d,-17.471256
4c373daf5547a6292c4905696c148ec83f95f083,-6.2811737
4549620b5459bb28990580f4ca0b4c2adc5b1a68,3.686693
87f89c855f377c5b100ad2986cc6569e31d94a98,490.49072
d0d8601aab147c191ae37365a930c1ed3eb0414b,-10.0243225
9a25537903e8e7eab1dfb357903d241e24e86fb8,-9.644938
eaecf3dd32668664e1dcc2d6c7a69042824806a6,452.9543
d19fa85793fcb8ae3126d10592c9c57d3b32971f,-1.6557355
c59b370d3aa06b68878c836bceac844953d74972,452.8559
5a6d397150d1a9e9c82e120f92d1e782da34bddb,1.6250246
b2128312e70fdb830091aecb6b27d82617e2e226,445.60434
8257941af168c0cc15f28bd596fd922352dae732,337.90036
854ce153823802674f35bbe1ec010b12e9b3a56f,454.9568
27f1db4e266b154f6f7fbef9c225fab472652a7b,415.97983
11b90bed4a05d11169f308370faf81d6e9ca2c4f,458.60312
5c55b7aeae6cb75ec715b4629812175239e45c15,1.0037907
1391c7de937e0fea2ad23ebb111e513bf2aca2af,103.987465
e9488c35627294cd8f5a809c0667aef7a3f0d465,-20.20767
39c22d725a24b290af887b25175ae0a8d560db4b,8.547233
e001e1d73163c327a4d800697b1b36cd6921f60d,531.8422
b83424ca8973e4b2eebf6eb9e26e842999432d22,416.51965
202da3f471204ad489ebf0c3856437337534112d,-2.9855947
912d751c54b46c860c5ba61666fc6fc59ca2689d,404.00577
8376d681a277c58f06ab633a06eaa66391126246,-2.1237879
e114f7b197069bde8e158a0dbeaa022dd0c4e280,442.761
fa84edf183bd459ea9394d77bdc191683a75ff66,609.39307
76190ff09a736ff83169394b770699b2709c5a27,443.24838
515db15df8581ae72bb8e8358833016adee74e02,415.3815
e2a05053c19e6fba60d0e582e6c7f371728a7106,441.25256
66c14322296ac259374ec98c5c3bb2bd67ba25e9,3.946296
2378556841bc8d5746f2b94d6adefc2db20f9518,388.399
1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,-6.2377033
796d558152d241567f8a72b535a5e36fe78886f3,424.07672
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,573.9467
3c748fc7a94edb7ac1484373751ffa8574a3281d,424.72772
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,434.23846
92510f53e4c26c81c3bb41aa9b4e967d1697cd12,1.9803205
10a1e8808e744c619376bff659f859cd71e8c41d,427.81625
fc959dafc37dde3f173f083486d84ce5c817443f,436.89203
6979d91c0a1903a336c640e14eed100821a0e24d,467.116
d4e37c4c1235ce014392f6c8ba0436f195b9e459,513.8453
65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,-4.906108
565a955a60c6073157aa869c0351c626a7171ef3,520.4809
5697c01ee87a008056ebc0993a1028b41a26d251,6.936883
99be797e423b5ae08fe342ea772738f71975df47,553.6764
b579ea83f2d6c15b2c717d16a89827d65f39904b,475.67886
e9373b5c22567bec508f2fa2580e4dc3ff687caa,604.3327
a465af361b68bd536dd8bf61d522b9b21755ab60,481.8838
c8feec2a94d996d03534ce935dec7a034667f107,804.86597
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,439.59302
f4f7888cfe88b7a3b0f3d94749921976353ae82c,419.43585
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,585.5066
2e466f15ac7b80870736fac2d0cf4bd7f362e852,458.4969
85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,-0.6571512
fc83a5c665f70f39b4c7d326118cbf21a898e660,694.11816
c26fbd904781a4f6c37a8f8969778f687c6c1424,-0.16819298
ced4913c2220be57c54bc9f87bb4f441d5976671,454.09512
880ade460a231d722e8bb0e4d17f3c8f77663d37,428.50452
7c869f5b89ddf3130c87011b6508ee59e32682c5,456.37515
9027f65d4e576928ca59690c280050c53d66506a,692.0413
09eb415bcb9842d207139c8bddf32427a134d51e,568.2364
f8224c83e27f4921df62876f7ff660b1dab3d974,502.3897
628b91ee9b4e1e4564424fbfff2ea9f8eddca032,-5.912895
dfec3182aec0997207e0845b072498065ec89aac,765.57153
d653549f6d0ba70e2113b2cc56e9a83e331d2462,521.2474
e95674df974af80342f676ca9e3540aecec2b8dc,529.1518
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,481.5456
2b7b15015ab18dc51893827c7e3f01d931a70410,-20.053226
22d86e8b43a9412df86ec15ac231b9919e3ec905,454.507
1c61035799f6afe7f44c1fb68567d7a8945c3943,617.614
d5ed4b8732b0d7127a64f7e71137d321c56cc198,400.2267
63edbbe59337f861a710bee4fe8a691d231f23da,382.44653
f62bf9257782d839d38f84376b79611ed0de655d,3.1427014
cf14952b5b09ad1a9497769e3a08da2fd74c6102,-1.5972579
21b8ef230efbfca6b5f15b36a3243d76ed390967,466.82553
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,392.74942
467fdbfc0c6cab31b0d85ec5e373d82fa3790321,5.003908
